state,year,emissions_per_cap
virginia,1993,15.6
washington,1993,14.2
west virginia,1993,54.3
wisconsin,1993,17.8
wyoming,1993,123.0
alabama,1994,28.9
alaska,1994,58.9
arizona,1994,16.9
arkansas,1994,21.8
california,1994,11.4
colorado,1994,19.6
connecticut,1994,11.3
delaware,1994,25.7
district of columbia,1994,7.6
florida,1994,14.1
georgia,1994,20.0
hawaii,1994,16.8
idaho,1994,10.9
illinois,1994,17.1
indiana,1994,35.2
iowa,1994,24.0
kansas,1994,27.7
kentucky,1994,34.4
louisiana,1994,47.4
maine,1994,16.2
maryland,1994,14.1
massachusetts,1994,13.3
michigan,1994,19.4
minnesota,1994,18.7
mississippi,1994,18.7
missouri,1994,20.4
montana,1994,36.0
nebraska,1994,21.9
nevada,1994,24.2
new hampshire,1994,13.1
new jersey,1994,15.5
new mexico,1994,30.8
new york,1994,10.4
north carolina,1994,17.0
north dakota,1994,74.8
ohio,1994,22.4
oklahoma,1994,28.5
oregon,1994,11.8
pennsylvania,1994,21.9
rhode island,1994,12.6
south carolina,1994,17.8
south dakota,1994,17.7
tennessee,1994,21.3
texas,1994,31.6
utah,1994,29.5
vermont,1994,10.3
virginia,1994,15.3
washington,1994,14.9
west virginia,1994,58.5
wisconsin,1994,18.2
wyoming,1994,125.8
alabama,1995,30.5
alaska,1995,66.3
arizona,1995,15.1
arkansas,1995,22.7
california,1995,11.0
colorado,1995,19.1
connecticut,1995,11.0
delaware,1995,24.0
district of columbia,1995,7.6
florida,1995,14.2
georgia,1995,20.7
hawaii,1995,16.7
idaho,1995,11.3
illinois,1995,17.3
indiana,1995,35.8
iowa,1995,25.0
kansas,1995,26.7
kentucky,1995,35.5
louisiana,1995,47.3
maine,1995,15.2
maryland,1995,13.9
massachusetts,1995,12.8
michigan,1995,19.5
minnesota,1995,19.1
mississippi,1995,18.9
missouri,1995,21.6
montana,1995,35.0
nebraska,1995,23.2
nevada,1995,22.4
new hampshire,1995,13.0
new jersey,1995,15.3
new mexico,1995,29.3
new york,1995,10.7
north carolina,1995,17.5
north dakota,1995,74.3
ohio,1995,22.6
oklahoma,1995,28.6
oregon,1995,10.7
pennsylvania,1995,22.1
rhode island,1995,11.8
south carolina,1995,17.4
south dakota,1995,17.3
tennessee,1995,22.3
texas,1995,31.1
utah,1995,28.8
vermont,1995,10.2
virginia,1995,15.4
washington,1995,14.3
west virginia,1995,57.5
wisconsin,1995,18.6
wyoming,1995,120.0
alabama,1996,31.7
alaska,1996,67.5
arizona,1996,15.0
arkansas,1996,23.4
california,1996,10.9
colorado,1996,19.4
connecticut,1996,11.8
delaware,1996,24.5
district of columbia,1996,7.7
florida,1996,14.3
georgia,1996,20.8
hawaii,1996,15.9
idaho,1996,11.5
illinois,1996,18.4
indiana,1996,36.3
iowa,1996,26.0
kansas,1996,28.5
kentucky,1996,35.5
louisiana,1996,48.4
maine,1996,15.5
maryland,1996,14.2
massachusetts,1996,12.8
michigan,1996,19.9
minnesota,1996,19.9
mississippi,1996,19.8
missouri,1996,22.5
montana,1996,31.5
nebraska,1996,23.6
nevada,1996,22.9
new hampshire,1996,13.0
new jersey,1996,15.2
new mexico,1996,30.0
new york,1996,10.8
north carolina,1996,18.7
north dakota,1996,75.4
ohio,1996,23.6
oklahoma,1996,29.1
oregon,1996,11.2
pennsylvania,1996,22.5
rhode island,1996,13.2
south carolina,1996,18.3
south dakota,1996,17.2
tennessee,1996,22.1
texas,1996,32.9
utah,1996,28.4
vermont,1996,10.6
virginia,1996,16.0
washington,1996,14.7
west virginia,1996,59.2
wisconsin,1996,19.2
wyoming,1996,122.2
alabama,1997,30.7
alaska,1997,67.3
arizona,1997,15.1
arkansas,1997,22.7
california,1997,10.9
colorado,1997,19.0
connecticut,1997,12.6
delaware,1997,22.4
district of columbia,1997,7.5
florida,1997,14.3
georgia,1997,20.4
hawaii,1997,15.4
idaho,1997,11.2
illinois,1997,18.5
indiana,1997,36.6
iowa,1997,25.7
kansas,1997,27.0
kentucky,1997,36.2
louisiana,1997,50.1
maine,1997,15.6
maryland,1997,14.1
massachusetts,1997,13.7
michigan,1997,19.6
minnesota,1997,19.3
mississippi,1997,20.1
missouri,1997,23.0
montana,1997,33.6
nebraska,1997,24.3
nevada,1997,21.6
new hampshire,1997,13.9
new jersey,1997,15.3
new mexico,1997,31.5
new york,1997,10.9
north carolina,1997,18.6
north dakota,1997,73.3
ohio,1997,23.2
oklahoma,1997,29.2
oregon,1997,10.9
pennsylvania,1997,22.6
rhode island,1997,13.2
south carolina,1997,18.5
south dakota,1997,17.8
tennessee,1997,22.3
texas,1997,32.9
utah,1997,28.8
vermont,1997,10.9
virginia,1997,16.1
washington,1997,14.0
west virginia,1997,61.1
wisconsin,1997,19.6
wyoming,1997,120.8
alabama,1998,30.3
alaska,1998,68.1
arizona,1998,15.7
arkansas,1998,23.1
california,1998,11.0
colorado,1998,19.0
connecticut,1998,11.9
delaware,1998,21.2
district of columbia,1998,7.2
florida,1998,14.9
georgia,1998,20.1
hawaii,1998,15.4
idaho,1998,11.2
illinois,1998,17.7
indiana,1998,36.6
iowa,1998,26.6
kansas,1998,26.3
kentucky,1998,35.5
louisiana,1998,46.9
maine,1998,15.3
maryland,1998,14.6
massachusetts,1998,13.3
michigan,1998,19.4
minnesota,1998,19.1
mississippi,1998,20.2
missouri,1998,23.7
montana,1998,36.0
nebraska,1998,25.3
nevada,1998,22.0
new hampshire,1998,13.7
new jersey,1998,14.6
new mexico,1998,30.9
new york,1998,10.8
north carolina,1998,18.2
north dakota,1998,75.3
ohio,1998,23.0
oklahoma,1998,28.5
oregon,1998,12.4
pennsylvania,1998,21.7
rhode island,1998,13.4
south carolina,1998,19.1
south dakota,1998,17.2
tennessee,1998,21.9
texas,1998,32.6
utah,1998,29.3
vermont,1998,10.4
virginia,1998,16.2
washington,1998,14.6
west virginia,1998,63.5
wisconsin,1998,19.1
wyoming,1998,130.3
alabama,1999,30.66
alaska,1999,68.58
arizona,1999,16.05
arkansas,1999,23.65
california,1999,10.93
colorado,1999,19.04
connecticut,1999,12.16
delaware,1999,21.16
district of columbia,1999,7.27
florida,1999,14.58
georgia,1999,20.01
hawaii,1999,15.22
idaho,1999,11.68
illinois,1999,18.36
indiana,1999,37.46
iowa,1999,26.78
kansas,1999,27.36
kentucky,1999,36.39
louisiana,1999,46.29
maine,1999,15.97
maryland,1999,14.96
massachusetts,1999,12.78
michigan,1999,20.1
minnesota,1999,19.0
mississippi,1999,21.73
missouri,1999,23.66
montana,1999,36.56
nebraska,1999,24.47
nevada,1999,21.41
new hampshire,1999,13.66
new jersey,1999,14.86
new mexico,1999,31.14
new york,1999,10.9
north carolina,1999,17.71
north dakota,1999,77.43
ohio,1999,22.93
oklahoma,1999,27.99
oregon,1999,12.72
pennsylvania,1999,21.6
rhode island,1999,12.63
south carolina,1999,19.78
south dakota,1999,17.94
tennessee,1999,21.79
texas,1999,31.46
utah,1999,28.35
vermont,1999,10.76
virginia,1999,16.28
washington,1999,14.66
west virginia,1999,64.26
wisconsin,1999,19.77
wyoming,1999,127.1
alabama,2000,31.96
alaska,2000,69.39
arizona,2000,16.79
arkansas,2000,23.64
california,2000,11.25
colorado,2000,19.76
connecticut,2000,12.53
delaware,2000,21.22
district of columbia,2000,7.54
florida,2000,14.9
georgia,2000,20.62
hawaii,2000,15.43
idaho,2000,12.08
illinois,2000,18.89
indiana,2000,39.35
iowa,2000,27.11
kansas,2000,28.14
kentucky,2000,36.32
louisiana,2000,49.34
maine,2000,17.42
maryland,2000,14.78
massachusetts,2000,12.94
michigan,2000,19.55
minnesota,2000,19.89
mississippi,2000,21.55
missouri,2000,22.6
montana,2000,35.15
nebraska,2000,24.31
nevada,2000,22.6
new hampshire,2000,14.09
new jersey,2000,14.78
new mexico,2000,31.99
new york,2000,11.17
north carolina,2000,18.45
north dakota,2000,79.94
ohio,2000,23.47
oklahoma,2000,29.0
oregon,2000,12.11
pennsylvania,2000,22.67
rhode island,2000,11.21
south carolina,2000,20.38
south dakota,2000,18.82
tennessee,2000,22.57
texas,2000,32.14
utah,2000,29.13
vermont,2000,11.12
virginia,2000,17.35
washington,2000,14.27
west virginia,2000,64.03
wisconsin,2000,20.06
wyoming,2000,128.49
alabama,2001,29.84
alaska,2001,67.12
arizona,2001,16.85
arkansas,2001,23.22
california,2001,11.18
colorado,2001,21.08
connecticut,2001,12.11
delaware,2001,20.1
district of columbia,2001,7.1
florida,2001,14.51
georgia,2001,19.29
hawaii,2001,15.64
idaho,2001,11.8
illinois,2001,18.03
indiana,2001,37.59
iowa,2001,26.69
kansas,2001,26.59
kentucky,2001,37.13
louisiana,2001,44.38
maine,2001,17.4
maryland,2001,14.7
massachusetts,2001,12.81
michigan,2001,18.97
minnesota,2001,19.05
mississippi,2001,24.46
missouri,2001,23.5
montana,2001,35.34
nebraska,2001,24.95
nevada,2001,21.35
new hampshire,2001,13.5
new jersey,2001,14.29
new mexico,2001,31.87
new york,2001,10.9
north carolina,2001,17.58
north dakota,2001,81.4
ohio,2001,22.56
oklahoma,2001,29.27
oregon,2001,11.72
pennsylvania,2001,21.55
rhode island,2001,11.63
south carolina,2001,19.78
south dakota,2001,17.82
tennessee,2001,22.12
texas,2001,31.28
utah,2001,27.67
vermont,2001,10.82
virginia,2001,16.79
washington,2001,13.3
west virginia,2001,58.67
wisconsin,2001,19.59
wyoming,2001,128.73
alabama,2002,30.9
alaska,2002,66.6
arizona,2002,16.4
arkansas,2002,22.6
california,2002,11.0
colorado,2002,20.4
connecticut,2002,11.6
delaware,2002,19.7
district of columbia,2002,7.3
florida,2002,14.5
georgia,2002,19.6
hawaii,2002,16.5
idaho,2002,11.2
illinois,2002,18.2
indiana,2002,37.9
iowa,2002,26.9
kansas,2002,28.1
kentucky,2002,37.0
louisiana,2002,45.5
maine,2002,18.4
maryland,2002,14.5
massachusetts,2002,12.9
michigan,2002,18.9
minnesota,2002,19.4
mississippi,2002,21.9
missouri,2002,23.5
montana,2002,34.0
nebraska,2002,24.5
nevada,2002,19.2
new hampshire,2002,13.9
new jersey,2002,14.2
new mexico,2002,29.9
new york,2002,10.6
north carolina,2002,17.5
north dakota,2002,81.3
ohio,2002,23.0
oklahoma,2002,29.1
oregon,2002,11.1
pennsylvania,2002,22.1
rhode island,2002,11.0
south carolina,2002,19.9
south dakota,2002,18.1
tennessee,2002,21.8
texas,2002,31.3
utah,2002,26.9
vermont,2002,10.3
virginia,2002,16.4
washington,2002,12.1
west virginia,2002,65.7
wisconsin,2002,19.7
wyoming,2002,125.0
alabama,2003,31.0
alaska,2003,66.2
arizona,2003,16.4
arkansas,2003,22.8
california,2003,10.6
colorado,2003,20.1
connecticut,2003,12.3
delaware,2003,20.3
district of columbia,2003,6.9
florida,2003,14.5
georgia,2003,19.8
hawaii,2003,17.2
idaho,2003,10.6
illinois,2003,18.4
indiana,2003,38.7
iowa,2003,26.8
kansas,2003,29.0
kentucky,2003,35.9
louisiana,2003,44.6
maine,2003,18.2
maryland,2003,15.0
massachusetts,2003,13.2
michigan,2003,18.6
minnesota,2003,20.2
mississippi,2003,22.4
missouri,2003,24.6
montana,2003,36.1
nebraska,2003,25.1
nevada,2003,19.6
new hampshire,2003,16.4
new jersey,2003,14.4
new mexico,2003,30.8
new york,2003,11.1
north carolina,2003,17.5
north dakota,2003,80.8
ohio,2003,23.7
oklahoma,2003,29.7
oregon,2003,11.2
pennsylvania,2003,22.3
rhode island,2003,10.8
south carolina,2003,19.9
south dakota,2003,18.0
tennessee,2003,21.4
texas,2003,30.5
utah,2003,26.9
vermont,2003,10.8
virginia,2003,16.8
washington,2003,12.4
west virginia,2003,63.7
wisconsin,2003,19.3
wyoming,2003,128.2
alabama,2004,31.3
alaska,2004,70.1
arizona,2004,17.2
arkansas,2004,22.7
california,2004,11.0
colorado,2004,20.4
connecticut,2004,12.8
delaware,2004,20.0
district of columbia,2004,7.1
florida,2004,14.8
georgia,2004,20.0
hawaii,2004,17.6
idaho,2004,11.3
illinois,2004,18.9
indiana,2004,38.5
iowa,2004,27.1
kansas,2004,28.0
kentucky,2004,37.3
louisiana,2004,45.7
maine,2004,18.3
maryland,2004,15.0
massachusetts,2004,12.9
michigan,2004,18.8
minnesota,2004,19.8
mississippi,2004,22.8
missouri,2004,24.7
montana,2004,37.4
nebraska,2004,24.8
nevada,2004,20.5
new hampshire,2004,17.0
new jersey,2004,14.6
new mexico,2004,31.0
new york,2004,11.2
north carolina,2004,17.6
north dakota,2004,77.6
ohio,2004,23.2
oklahoma,2004,28.3
oregon,2004,11.4
pennsylvania,2004,22.5
rhode island,2004,10.2
south carolina,2004,21.5
south dakota,2004,17.9
tennessee,2004,21.5
texas,2004,29.9
utah,2004,27.5
vermont,2004,11.4
virginia,2004,17.1
washington,2004,12.6
west virginia,2004,62.0
wisconsin,2004,19.5
wyoming,2004,126.6
alabama,2005,31.4
alaska,2005,71.2
arizona,2005,16.7
arkansas,2005,21.7
california,2005,10.9
colorado,2005,20.7
connecticut,2005,12.5
delaware,2005,20.6
district of columbia,2005,6.9
florida,2005,14.6
georgia,2005,20.8
hawaii,2005,17.8
idaho,2005,11.1
illinois,2005,19.4
indiana,2005,38.0
iowa,2005,27.0
kansas,2005,26.6
kentucky,2005,37.4
louisiana,2005,44.1
maine,2005,17.5
maryland,2005,15.2
massachusetts,2005,13.2
michigan,2005,18.9
minnesota,2005,19.9
mississippi,2005,22.0
missouri,2005,25.0
montana,2005,38.2
nebraska,2005,24.9
nevada,2005,20.6
new hampshire,2005,16.4
new jersey,2005,15.1
new mexico,2005,30.8
new york,2005,11.1
north carolina,2005,17.7
north dakota,2005,82.1
ohio,2005,23.7
oklahoma,2005,30.0
oregon,2005,11.4
pennsylvania,2005,22.6
rhode island,2005,10.5
south carolina,2005,20.8
south dakota,2005,17.2
tennessee,2005,21.4
texas,2005,28.3
utah,2005,27.5
vermont,2005,11.0
virginia,2005,17.1
washington,2005,12.7
west virginia,2005,63.0
wisconsin,2005,20.0
wyoming,2005,124.0
alabama,2006,31.5
alaska,2006,67.3
arizona,2006,16.7
arkansas,2006,22.0
california,2006,11.0
colorado,2006,20.5
connecticut,2006,11.6
delaware,2006,18.9
district of columbia,2006,5.6
florida,2006,14.3
georgia,2006,20.0
hawaii,2006,17.7
idaho,2006,10.8
illinois,2006,18.7
indiana,2006,37.4
iowa,2006,27.3
kansas,2006,26.4
kentucky,2006,37.6
louisiana,2006,48.8
maine,2006,16.0
maryland,2006,13.9
massachusetts,2006,11.9
michigan,2006,17.9
minnesota,2006,19.2
mississippi,2006,22.8
missouri,2006,24.5
montana,2006,37.8
nebraska,2006,25.0
nevada,2006,16.5
new hampshire,2006,14.8
new jersey,2006,14.2
new mexico,2006,30.8
new york,2006,10.1
north carolina,2006,16.7
north dakota,2006,79.0
ohio,2006,23.1
oklahoma,2006,30.4
oregon,2006,11.0
pennsylvania,2006,22.0
rhode island,2006,9.9
south carolina,2006,20.5
south dakota,2006,17.1
tennessee,2006,21.3
texas,2006,27.8
utah,2006,27.2
vermont,2006,10.7
virginia,2006,16.0
washington,2006,12.1
west virginia,2006,62.8
wisconsin,2006,18.5
wyoming,2006,123.3
alabama,2007,31.5
alaska,2007,64.2
arizona,2007,16.6
arkansas,2007,22.2
california,2007,11.1
colorado,2007,20.7
connecticut,2007,11.4
delaware,2007,19.6
district of columbia,2007,5.9
florida,2007,14.0
georgia,2007,19.8
hawaii,2007,18.2
idaho,2007,10.8
illinois,2007,19.2
indiana,2007,37.0
iowa,2007,29.0
kansas,2007,28.4
kentucky,2007,37.2
louisiana,2007,48.1
maine,2007,15.8
maryland,2007,13.9
massachusetts,2007,12.4
michigan,2007,18.2
minnesota,2007,19.3
mississippi,2007,23.3
missouri,2007,24.1
montana,2007,39.4
nebraska,2007,25.0
nevada,2007,16.1
new hampshire,2007,14.6
new jersey,2007,15.1
new mexico,2007,29.7
new york,2007,10.4
north carolina,2007,16.9
north dakota,2007,81.2
ohio,2007,23.6
oklahoma,2007,30.1
oregon,2007,11.7
pennsylvania,2007,22.2
rhode island,2007,10.5
south carolina,2007,20.1
south dakota,2007,17.5
tennessee,2007,20.9
texas,2007,27.1
utah,2007,27.2
vermont,2007,10.5
virginia,2007,16.5
washington,2007,12.7
west virginia,2007,63.8
wisconsin,2007,18.7
wyoming,2007,124.9
alabama,2008,29.5
alaska,2008,56.9
arizona,2008,16.3
arkansas,2008,22.3
california,2008,10.5
colorado,2008,19.9
connecticut,2008,10.6
delaware,2008,18.3
district of columbia,2008,5.3
florida,2008,12.9
georgia,2008,18.2
hawaii,2008,14.5
idaho,2008,10.1
illinois,2008,19.0
indiana,2008,36.1
iowa,2008,29.9
kansas,2008,26.7
kentucky,2008,36.3
louisiana,2008,46.0
maine,2008,14.3
maryland,2008,13.1
massachusetts,2008,11.9
michigan,2008,17.6
minnesota,2008,19.1
mississippi,2008,22.0
missouri,2008,23.4
montana,2008,38.1
nebraska,2008,26.0
nevada,2008,15.4
new hampshire,2008,14.2
new jersey,2008,14.7
new mexico,2008,28.2
new york,2008,9.9
north carolina,2008,16.0
north dakota,2008,81.2
ohio,2008,23.0
oklahoma,2008,30.5
oregon,2008,11.3
pennsylvania,2008,21.4
rhode island,2008,10.1
south carolina,2008,19.2
south dakota,2008,18.7
tennessee,2008,19.6
texas,2008,25.7
utah,2008,26.2
vermont,2008,9.5
virginia,2008,14.9
washington,2008,12.1
west virginia,2008,61.3
wisconsin,2008,18.7
wyoming,2008,123.1
alabama,2009,25.2
alaska,2009,53.3
arizona,2009,14.8
arkansas,2009,21.2
california,2009,10.0
colorado,2009,18.8
connecticut,2009,10.1
delaware,2009,13.4
district of columbia,2009,5.4
florida,2009,12.0
georgia,2009,16.9
hawaii,2009,14.0
idaho,2009,9.8
illinois,2009,17.8
indiana,2009,32.4
iowa,2009,28.2
kansas,2009,25.8
kentucky,2009,33.8
louisiana,2009,43.1
maine,2009,13.8
maryland,2009,12.5
massachusetts,2009,10.8
michigan,2009,16.6
minnesota,2009,17.5
mississippi,2009,20.5
missouri,2009,22.2
montana,2009,33.7
nebraska,2009,26.1
nevada,2009,14.7
new hampshire,2009,13.0
new jersey,2009,12.7
new mexico,2009,28.3
new york,2009,9.0
north carolina,2009,14.1
north dakota,2009,78.2
ohio,2009,20.8
oklahoma,2009,28.6
oregon,2009,10.7
pennsylvania,2009,19.4
rhode island,2009,10.7
south carolina,2009,17.9
south dakota,2009,18.2
tennessee,2009,16.2
texas,2009,23.8
utah,2009,23.9
vermont,2009,9.9
virginia,2009,13.4
washington,2009,11.5
west virginia,2009,48.8
wisconsin,2009,17.0
wyoming,2009,114.4
alabama,2010,27.7
alaska,2010,52.0
arizona,2010,15.5
arkansas,2010,22.6
california,2010,9.6
colorado,2010,19.0
connecticut,2010,10.2
delaware,2010,14.5
district of columbia,2010,5.3
florida,2010,13.0
georgia,2010,18.0
hawaii,2010,15.0
idaho,2010,10.3
illinois,2010,18.2
indiana,2010,33.6
iowa,2010,29.6
kansas,2010,25.4
kentucky,2010,35.2
louisiana,2010,44.8
maine,2010,13.4
maryland,2010,12.3
massachusetts,2010,11.1
michigan,2010,17.0
minnesota,2010,17.3
mississippi,2010,21.4
missouri,2010,22.8
montana,2010,35.3
nebraska,2010,27.3
nevada,2010,15.3
new hampshire,2010,12.7
new jersey,2010,12.0
new mexico,2010,26.1
new york,2010,9.5
north carolina,2010,15.4
north dakota,2010,78.3
ohio,2010,21.4
oklahoma,2010,28.1
oregon,2010,10.6
pennsylvania,2010,20.1
rhode island,2010,10.4
south carolina,2010,18.5
south dakota,2010,18.5
tennessee,2010,17.2
texas,2010,24.4
utah,2010,23.1
vermont,2010,9.4
virginia,2010,13.9
washington,2010,10.9
west virginia,2010,54.2
wisconsin,2010,17.4
wyoming,2010,116.1
alabama,2011,27.0
alaska,2011,51.4
arizona,2011,15.1
arkansas,2011,22.9
california,2011,9.1
colorado,2011,18.1
connecticut,2011,9.8
delaware,2011,15.3
district of columbia,2011,5.0
florida,2011,12.2
georgia,2011,16.3
hawaii,2011,14.9
idaho,2011,10.1
illinois,2011,18.0
indiana,2011,32.2
iowa,2011,28.5
kansas,2011,24.6
kentucky,2011,34.6
louisiana,2011,45.4
maine,2011,13.0
maryland,2011,11.5
massachusetts,2011,10.4
michigan,2011,16.4
minnesota,2011,17.1
mississippi,2011,19.7
missouri,2011,22.8
montana,2011,32.1
nebraska,2011,28.5
nevada,2011,14.0
new hampshire,2011,12.4
new jersey,2011,11.9
new mexico,2011,27.0
new york,2011,9.0
north carolina,2011,13.7
north dakota,2011,79.2
ohio,2011,20.4
oklahoma,2011,28.2
oregon,2011,9.6
pennsylvania,2011,19.6
rhode island,2011,10.4
south carolina,2011,17.4
south dakota,2011,17.7
tennessee,2011,16.5
texas,2011,24.8
utah,2011,22.9
vermont,2011,9.3
virginia,2011,12.7
washington,2011,10.1
west virginia,2011,52.7
wisconsin,2011,17.2
wyoming,2011,113.7
alabama,2012,25.5
alaska,2012,49.5
arizona,2012,14.6
arkansas,2012,22.4
california,2012,9.2
colorado,2012,17.6
connecticut,2012,9.5
delaware,2012,15.9
district of columbia,2012,4.2
florida,2012,11.8
georgia,2012,14.3
hawaii,2012,14.5
idaho,2012,9.9
illinois,2012,17.0
indiana,2012,29.9
iowa,2012,26.5
kansas,2012,22.9
kentucky,2012,32.0
louisiana,2012,42.8
maine,2012,11.8
maryland,2012,10.6
massachusetts,2012,9.4
michigan,2012,15.7
minnesota,2012,16.1
mississippi,2012,20.1
missouri,2012,21.4
montana,2012,30.6
nebraska,2012,27.3
nevada,2012,13.8
new hampshire,2012,11.1
new jersey,2012,11.2
new mexico,2012,26.0
new york,2012,8.6
north carolina,2012,12.8
north dakota,2012,80.7
ohio,2012,18.6
oklahoma,2012,27.4
oregon,2012,9.4
pennsylvania,2012,18.8
rhode island,2012,9.9
south carolina,2012,15.8
south dakota,2012,17.9
tennessee,2012,15.3
texas,2012,24.0
utah,2012,21.6
vermont,2012,8.7
virginia,2012,12.0
washington,2012,9.8
west virginia,2012,49.6
wisconsin,2012,15.9
wyoming,2012,115.7
alabama,2013,24.9
alaska,2013,46.1
arizona,2013,15.0
arkansas,2013,23.1
california,2013,9.1
colorado,2013,17.5
connecticut,2013,9.6
delaware,2013,15.2
district of columbia,2013,4.3
florida,2013,11.6
georgia,2013,14.3
hawaii,2013,14.3
idaho,2013,10.7
illinois,2013,18.1
indiana,2013,30.4
iowa,2013,26.6
kansas,2013,24.1
kentucky,2013,31.7
louisiana,2013,40.9
maine,2013,12.3
maryland,2013,10.4
massachusetts,2013,9.9
michigan,2013,16.5
minnesota,2013,16.8
mississippi,2013,19.1
missouri,2013,22.2
montana,2013,31.7
nebraska,2013,28.7
nevada,2013,14.3
new hampshire,2013,10.9
new jersey,2013,11.3
new mexico,2013,25.7
new york,2013,8.6
north carolina,2013,12.8
north dakota,2013,79.2
ohio,2013,19.7
oklahoma,2013,26.7
oregon,2013,9.9
pennsylvania,2013,19.5
rhode island,2013,9.5
south carolina,2013,14.7
south dakota,2013,18.2
tennessee,2013,15.0
texas,2013,24.8
utah,2013,22.9
vermont,2013,9.1
virginia,2013,12.8
washington,2013,10.6
west virginia,2013,50.8
wisconsin,2013,17.7
wyoming,2013,118.3
alabama,2014,25.3
alaska,2014,46.0
arizona,2014,14.5
arkansas,2014,23.2
california,2014,9.0
colorado,2014,17.3
connecticut,2014,9.7
delaware,2014,14.8
district of columbia,2014,4.5
florida,2014,11.7
georgia,2014,14.7
hawaii,2014,13.8
idaho,2014,10.3
illinois,2014,18.4
indiana,2014,31.2
iowa,2014,26.8
kansas,2014,24.2
kentucky,2014,31.8
louisiana,2014,40.1
maine,2014,12.4
maryland,2014,10.8
massachusetts,2014,9.6
michigan,2014,16.5
minnesota,2014,17.6
mississippi,2014,20.0
missouri,2014,22.0
montana,2014,31.8
nebraska,2014,27.7
nevada,2014,14.4
new hampshire,2014,11.4
new jersey,2014,11.8
new mexico,2014,24.2
new york,2014,9.0
north carolina,2014,13.0
north dakota,2014,80.2
ohio,2014,19.8
oklahoma,2014,26.9
oregon,2014,9.5
pennsylvania,2014,19.5
rhode island,2014,10.0
south carolina,2014,15.5
south dakota,2014,18.1
tennessee,2014,15.7
texas,2014,24.6
utah,2014,22.2
vermont,2014,9.4
virginia,2014,12.9
washington,2014,10.3
west virginia,2014,54.0
wisconsin,2014,17.6
wyoming,2014,113.1
alabama,2015,24.6
alaska,2015,47.5
arizona,2015,13.9
arkansas,2015,19.8
california,2015,9.0
colorado,2015,16.7
connecticut,2015,10.1
delaware,2015,14.8
district of columbia,2015,4.4
florida,2015,11.7
georgia,2015,14.3
hawaii,2015,13.9
idaho,2015,10.9
illinois,2015,17.0
indiana,2015,28.3
iowa,2015,24.8
kansas,2015,22.2
kentucky,2015,29.7
louisiana,2015,39.8
maine,2015,12.6
maryland,2015,10.4
massachusetts,2015,9.8
michigan,2015,16.6
minnesota,2015,16.3
mississippi,2015,20.5
missouri,2015,20.5
montana,2015,31.6
nebraska,2015,26.8
nevada,2015,13.4
new hampshire,2015,11.4
new jersey,2015,11.7
new mexico,2015,24.3
new york,2015,8.9
north carolina,2015,12.4
north dakota,2015,76.6
ohio,2015,18.2
oklahoma,2015,25.6
oregon,2015,9.4
pennsylvania,2015,18.2
rhode island,2015,10.2
south carolina,2015,15.0
south dakota,2015,16.5
tennessee,2015,15.0
texas,2015,23.9
utah,2015,21.3
vermont,2015,9.8
virginia,2015,12.9
washington,2015,10.5
west virginia,2015,49.9
wisconsin,2015,17.3
wyoming,2015,109.4
alabama,2016,23.4
alaska,2016,45.0
arizona,2016,13.1
arkansas,2016,20.8
california,2016,9.0
colorado,2016,16.0
connecticut,2016,9.5
delaware,2016,15.2
district of columbia,2016,4.0
florida,2016,11.6
georgia,2016,14.0
hawaii,2016,13.9
idaho,2016,10.9
illinois,2016,16.2
indiana,2016,27.4
iowa,2016,23.6
kansas,2016,21.5
kentucky,2016,28.6
louisiana,2016,40.4
maine,2016,12.1
maryland,2016,10.1
massachusetts,2016,9.4
michigan,2016,15.5
minnesota,2016,16.5
mississippi,2016,20.8
missouri,2016,19.5
montana,2016,29.9
nebraska,2016,25.4
nevada,2016,13.7
new hampshire,2016,10.3
new jersey,2016,11.9
new mexico,2016,23.3
new york,2016,8.7
north carolina,2016,12.3
north dakota,2016,72.7
ohio,2016,17.6
oklahoma,2016,24.5
oregon,2016,9.2
pennsylvania,2016,17.0
rhode island,2016,9.1
south carolina,2016,14.6
south dakota,2016,17.1
tennessee,2016,15.2
texas,2016,23.5
utah,2016,19.3
vermont,2016,9.5
virginia,2016,13.1
washington,2016,10.9
west virginia,2016,51.6
wisconsin,2016,16.6
wyoming,2016,104.7
alabama,2017,22.3
alaska,2017,45.5
arizona,2017,12.8
arkansas,2017,21.4
california,2017,9.1
colorado,2017,15.8
connecticut,2017,9.5
delaware,2017,14.4
district of columbia,2017,3.7
florida,2017,11.4
georgia,2017,13.6
hawaii,2017,14.3
idaho,2017,10.9
illinois,2017,16.1
indiana,2017,26.4
iowa,2017,24.3
kansas,2017,20.3
kentucky,2017,26.2
louisiana,2017,41.4
maine,2017,11.5
maryland,2017,9.1
massachusetts,2017,9.4
michigan,2017,15.6
minnesota,2017,16.4
mississippi,2017,20.2
missouri,2017,20.4
montana,2017,29.6
nebraska,2017,25.0
nevada,2017,13.5
new hampshire,2017,10.0
new jersey,2017,11.2
new mexico,2017,23.7
new york,2017,8.5
north carolina,2017,11.8
north dakota,2017,75.2
ohio,2017,17.6
oklahoma,2017,23.8
oregon,2017,9.4
pennsylvania,2017,16.8
rhode island,2017,9.4
south carolina,2017,13.9
south dakota,2017,16.8
tennessee,2017,14.5
texas,2017,23.5
utah,2017,19.0
